factual_id,brand,name,size,category,upc,ean13,upc_e,ingredients,servings,serving_size,calories,fat_calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,potassium,total_carbs,dietary_fiber,sugars,protein,manufacturer,avgPrice,image_urls,userName
1078ef9b-df4e-43db-b826-f2286c6345a7,L'Oreal,Bare Naturale Gentle Mineral Powder 418 Buff Beige,418 buff beige,Face Makeup,71249140673,71249140673,,Boron Nitride#Isononyl Isononanoate#Cera Carnauba Wax#Kaolin#Caprylyl Glycol#Ethylhexylglycerin#Tocopherol#Calcium Gluconate#Manganese Gluconate#Magnesium Gluconate#Copper Pca#Aloe Barbadensis/Aloe Barbadensis Leaf Juice#May Contain: Cl 77163/Bismuth Oxychloride#Mica#Cl 77891/Titanium Dioxide#Cl 77499#Cl 77492#Cl 77491/Iron Oxides,,,,,,,,,,,,,,,L'Oréal Group,5.63,http://ak.buy.com/PI/0/250/216003913.jpg#http://ecx.images-amazon.com/images/I/41dAijyeVzL._SX300_.jpg#http://img01.static-nextag.com/image/L-Oreal-Bare-Naturale/10/000/008/917/326/891732606.jpg#http://static-resources.goodguide.net/images/entities/large/264223.jpg#http://www.beautyencounter.com/products/large/071249140673.jpg#http://www.click4beauty.com.au/media/catalog/product/cache/1/image/5e06319eda06f020e43594a9c230972d/l/_/l_2174_399876819/click4beauty.com.au-l'oreal-l_071249140673-30.jpg,null
55d70555-b701-4ec8-ad11-f4ed7fc99205,Maybelline,Lipstick,0.15 oz; 4 g,Cosmetics,41554520804,41554520804,,,,,,,,,,,,,,,,,L'Oréal Group,,null,null
031c6703-fd4f-4a36-ae41-423724ec536f,Maybelline,Shiny Licious Lip Gloss Passion's Garnet,,Personal Care,41554529326,41554529326,,,,,,,,,,,,,,,,,L'Oréal Group,,http://ak.buy.com/PI/0/250/216004684.jpg#http://ecx.images-amazon.com/images/I/31h4pCw1VpL._SL500_AA300_.jpg#http://www.parfumery.com/pictures/large/041554529326.jpg,null
3a76fcae-eff1-435e-b315-fe67335a4404,Redken,Unisex Headplay 12 Pliable Working Spray Medium Control,8.5 oz,Hair Care,7.44E+11,7.44E+11,,,,,,,,,,,,,,,,,L'Oréal Group,26.24,http://ecx.images-amazon.com/images/I/41WJjftCLvL._SL500_AA300_.jpg#http://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A0SZ_1_20111025_11764645.jpg#http://img01.static-nextag.com/image/Redken-for-UNISEX-by/1/000/005/208/613/520861377.jpg#http://pics.Drugstore.com/prodimg/214974/300.JPG,null
f5024343-2a25-440d-bab6-ce900b7a0995,Maybelline,The Colossal Volum' Express Mascara Glam Black,0.31 fl oz; 9.2 ml,Eye & Eyebrow Makeup,41554050899,41554050899,,,,,,,,,,,,,,,,,L'Oréal Group,5.49,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/0/716960.jpg#http://ecx.images-amazon.com/images/I/41PyqGNOqVL._SX300_.jpg#http://i.walmartimages.com/i/p/00/04/15/54/05/0004155405089_300X300.jpg#http://img01.static-nextag.com/image/Maybelline-The-Colossal-Volume/10/000/010/125/742/1012574240.jpg#http://pics2.ds-static.com/prodimg/193047/300.JPG#http://static-resources.goodguide.net/images/entities/large/399360.jpg#http://www.beautyencounter.com/products/large/041554050899.jpg,null
295bc7a3-0db8-40f5-a140-d77eadeb7474,L'Oreal,L'Oreal Professionnel Majirel Permanent Creme Color Ionene G Incell 6.62 6Rv,,Personal Care,6.70E+11,6.70E+11,,,,,,,,,,,,,,,,,L'Oréal Group,9.99,http://ak.buy.com/PI/0/500/223674549.jpg#http://ecx.images-amazon.com/images/I/41a6-kmAqkL._SL500_AA300_.jpg#http://www.parfumery.com/pictures/large/670281006208.jpg,null
6ebfaef5-000f-4ce2-b68c-fdfac54a2dd4,Redken,Color Gels Permanent Conditioning Hair Color 3N Espresso,2 fl oz,Personal Care,7.44E+11,7.44E+11,,,,,,,,,,,,,,,,,L'Oréal Group,10.99,http://ak.buy.com/PI/0/500/230761875.jpg#http://ecx.images-amazon.com/images/I/31ifyloZw9L._SL500_AA300_.jpg#http://www.beautyencounter.com/products/large/743877061209.jpg,null
b3756abf-815e-4669-8cd0-c1f8a03583c7,Garnier,Highlighting Kit,1 application,Hair Color,6.03E+11,6.03E+11,,,,,,,,,,,,,,,,,L'Oréal Group,215,http://ecx.images-amazon.com/images/I/41Txww3Y93L._AA300_.jpg#http://img01.static-nextag.com/image/Garnier-Nutrisse-Nourishing-MultiLights/10/000/010/238/648/1023864865.jpg,null
2aafadeb-0083-4213-be7e-a5bd28a057e9,L'Oreal,Studio Secrets Secret No.2 Anti-Dull Skin Primer,0.68 fluid oz#0.68-fluid oz,Face Makeup,71249176931,71249176931,,Water#Cyclopentasiloxane#Glycerin#Isodecane#Alcohol Denatured#Polyglyceryl 4 Isostearate#Cetyl Peg/Ppg 10/1 Dimethicone#Hexyl Laurate#Disteardimonium Hectorite#Ethylhexyl Methoxycinnamate#Aluminum Starch#Octenylsuccinate#Phenoxyethanol#Magnesium Sulfate#Diphenyl Dimethicone#Cellulose Gum#Tristearin#Acrylates Crosspolymer#Methylparaben#Nylon 12#Disodium Stearoyl Glutamate#Acetylated Glycol Stearate#Aluminum Hydroxide#Dimethicone#May Contain (+/-): (Ci 77891)#Mica#Iron,,,,,,,,,,,,,,,L'Oréal Group,4.87,http://ecx.images-amazon.com/images/I/21Ll-YAKRzL._SL500_AA300_.jpg#http://i.walmartimages.com/i/p/00/07/12/49/17/0007124917693_300X300.jpg#http://img01.static-nextag.com/image/L-Oreal-Studio-Secrets/10/000/009/160/491/916049192.jpg#http://pics1.ds-static.com/prodimg/270552/300.JPG#http://static-resources.goodguide.net/images/entities/large/123406.jpg,null
7b7cae01-c0f5-4e6f-90b7-4f4ac78f7c29,Matrix,Biolage Delicate Care Masque,5 oz,Hair Conditioners,90174460335,90174460335,,,,,,,,,,,,,,,,,L'Oréal Group,14.4,http://cdn-x.stockngo.com/media/catalog/product/m/a/matrix-biolage-delicate-care-masque-5oz-1.jpg#http://ecx.images-amazon.com/images/I/31XlLwWgpDL._SY300_.jpg,null
